[2024-11-20 16:38:02,707][root][INFO] - Train_dataset:48000, Valid_dataset:12000, Test_dataset:10000
[2024-11-20 16:38:02,707][root][INFO] - Train_loader:40, Valid_loader:47, Test_loader:10000
[2024-11-20 16:38:02,709][root][INFO] - success to load model: SimpleModel(
  (fc1): Linear(in_features=784, out_features=10, bias=True)
)
[2024-11-20 16:38:06,927][root][INFO] - Iter [76/], Loss: 1.5172
[2024-11-20 16:38:07,009][root][INFO] - Iter [77/], Loss: 1.4613
[2024-11-20 16:38:07,080][root][INFO] - Iter [78/], Loss: 1.4928
[2024-11-20 16:38:07,132][root][INFO] - Iter [79/], Loss: 1.4656
[2024-11-20 16:38:07,187][root][INFO] - Iter [80/], Loss: 1.5079
[2024-11-20 16:38:07,275][root][INFO] - Iter [81/], Loss: 1.4423
[2024-11-20 16:38:07,340][root][INFO] - Iter [82/], Loss: 1.3772
[2024-11-20 16:38:07,397][root][INFO] - Iter [83/], Loss: 1.4282
[2024-11-20 16:38:07,440][root][INFO] - Iter [84/], Loss: 1.4060
[2024-11-20 16:38:07,498][root][INFO] - Iter [85/], Loss: 1.4398
[2024-11-20 16:38:07,559][root][INFO] - Iter [86/], Loss: 1.4304
[2024-11-20 16:38:07,618][root][INFO] - Iter [87/], Loss: 1.4628
[2024-11-20 16:38:07,687][root][INFO] - Iter [88/], Loss: 1.4751
[2024-11-20 16:38:07,775][root][INFO] - Iter [89/], Loss: 1.4349
[2024-11-20 16:38:07,824][root][INFO] - Iter [90/], Loss: 1.5392
[2024-11-20 16:38:07,874][root][INFO] - Iter [91/], Loss: 1.3537
[2024-11-20 16:38:07,929][root][INFO] - Iter [92/], Loss: 1.3940
[2024-11-20 16:38:07,972][root][INFO] - Iter [93/], Loss: 1.3978
[2024-11-20 16:38:08,051][root][INFO] - Iter [94/], Loss: 1.4523
[2024-11-20 16:38:08,109][root][INFO] - Iter [95/], Loss: 1.4292
[2024-11-20 16:38:08,146][root][INFO] - Iter [96/], Loss: 1.3757
[2024-11-20 16:38:08,203][root][INFO] - Iter [97/], Loss: 1.3291
[2024-11-20 16:38:08,264][root][INFO] - Iter [98/], Loss: 1.4808
[2024-11-20 16:38:08,325][root][INFO] - Iter [99/], Loss: 1.3753
[2024-11-20 16:38:08,366][root][INFO] - Iter [100/], Loss: 1.3738
[2024-11-20 16:38:08,409][root][INFO] - Iter [101/], Loss: 1.4302
[2024-11-20 16:38:08,469][root][INFO] - Iter [102/], Loss: 1.3942
[2024-11-20 16:38:08,522][root][INFO] - Iter [103/], Loss: 1.4439
[2024-11-20 16:38:08,572][root][INFO] - Iter [104/], Loss: 1.3402
